part_num,name,part_cat_id,part_material
100811c01pr0478,"Minidoll Torso with Left Limb Reduction with White Shirt, Lime Globe, Leaves, Bright Light Orange/Coral Paint Spots print, Light Nougat Arm and Hand",63,Plastic
100811c01pr0486,"Minidoll Torso with Left Limb Reduction, White/Dark Turquoise Shirt, Fox on Bright Light Orange Background print, Light Nougat Arms and Hand",63,Plastic
10082535a,"Wing, Left, Toruk, Small, Red and Yellow Scales, Black Trim, Long Blue Tail Print",75,Plastic
10082535b,"Wing, Right, Toruk, Small, Red and Yellow Scales, Black Trim, Long Blue Tail Print",75,Plastic
10082535c,"Wing, Left, Toruk, Red and Yellow Scales, Black Trim Print",75,Plastic
10082535d,"Wing, Right, Toruk, Red and Yellow Scales, Black Trim Print",75,Plastic
10082535e,"Wingtip, Left, Toruk, Red and Yellow Scales, Black and Blue Trim Print",75,Plastic
10082535f,"Wingtip, Right, Toruk, Red and Yellow Scales, Black and Blue Trim Print",75,Plastic
10084111,Sticker Sheet for Set 10303-1,58,Plastic
10087139,Sticker Sheet for Set 76213-1,58,Plastic
10087146,Sticker Sheet for Set 76215-1,58,Plastic
10087156,Sticker Sheet for Set 76216-1,58,Plastic
10087327,Sticker Sheet for Set 60338-1,58,Plastic
10087371,Sticker Sheet for Set 60313-1,58,Plastic
100903pat0001,Costume Carrot with Green Leaves Pattern,65,Plastic
10090572,Sticker Sheet for Set 76207-1,58,Plastic
100907pat0001,Hair Bun with Bright Light Blue Ribbon pattern,65,Plastic
10092286,Sticker Sheet for Set 60339-1,58,Plastic
100942pat0001,Wheel 49.5 Mars Rover with Flat Silver Spokes Pattern,29,Plastic
100943,Technic Steering Wheel Hub Holder with 2 Ball Joints and 2 Axle Holes,25,Plastic
10095,"Motor Element, Subpart of LDD Large Motor 99499",45,Plastic
100953pat0001,"Hair Long Straight with Braid in back, Long Locks over Ears with Light Nougat Elf Ears Pattern",65,Plastic
10095456,Sticker Sheet for Set 3184-1,58,Plastic
10095457,Sticker Sheet for Set 3186-1,58,Plastic
10095459,Sticker Sheet for Set 3189 -1,58,Plastic
100954pr0001,"Duplo Book, Two Women in Asian Robes Print",4,Plastic
100954pr0002,"Duplo Book, Rabbit Print",4,Plastic
100954pr0003,"Duplo Book, Blue Wizard Hat, Silver Stars and Moons Print",4,Plastic
100954pr0004,"Duplo Book, Red Rabbit on Moon print",4,Plastic
100954pr0005,"Duplo Book, Bright Light Yellow Diamond, Dark Green 'JWJ' print",4,Plastic
100954pr0038,"Duplo Book, Red Rabbit, Duplo Bricks with '1, 2, 3' print",4,Plastic
10098711,Sticker Sheet for Set 60347-1,58,Plastic
10098858,Sticker Sheet 2 for Set 76910-1,58,Plastic
10099434,Sticker Sheet for Set 3063-1,58,Plastic
10099435,Sticker Sheet for Set 3185-1,58,Plastic
10100001,Sticker Sheet for Set 60324-1,58,Plastic
10100004,Sticker Sheet 1 for Set 80039-1,58,Plastic
10100005,Sticker Sheet for Set 60314-1,58,Plastic
10100006,Sticker Sheet for Set 60315-1,58,Plastic
10100007,Sticker Sheet for Set 60316-1,58,Plastic
10100008,Sticker Sheet for Set 60317-1,58,Plastic
10100009,Sticker Sheet for Set 60319-1,58,Plastic
10100070,Sticker Sheet for Set 60320-1,58,Plastic
10100071,Sticker Sheet 1 for Set 60321-1,58,Plastic
10100072,Sticker Sheet 2 for Set 60321-1,58,Plastic
10100073,Sticker Sheet for Set 60327-1,58,Plastic
10100074,Sticker Sheet for Set 60343-1,58,Plastic
10100075,Sticker Sheet for Set 60328-1,58,Plastic
10100076,Sticker Sheet for Set 60329-1,58,Plastic
10100077,Sticker Sheet for Set 60349-1,58,Plastic
10100078,Sticker Sheet 1 for Set 60350-1,58,Plastic
